Område;Vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
Vestfold;E+R;Alle;Alle;Januar;4,766;97,000;8582412;8191959;2.755;1.591
Vestfold;E+R;Alle;< 5,6m;Januar;4,412;97,000;7281669;6973962;3.011;1.738
Vestfold;E+R;Alle;>= 5,6m;Januar;6,773;97,000;1298057;1215714;2.568;1.483
Vestfold;E+R;Alle;5,6m - 7,6m;Januar;9,005;97,000;297813;273211;3.640;2.101
Vestfold;E+R;Alle;7,6m - 12,5m;Januar;6,824;97,000;339020;317362;2.748;1.586
Vestfold;E+R;Alle;12,5m - 16,0m;Januar;2,322;97,000;146710;143380;9.753;5.631
Vestfold;E+R;Alle;>= 16,0m;Januar;6,799;97,000;514514;481761;2.933;1.694
Vestfold;E+R;Yrkesdøgn;Alle;Januar;4,487;96,000;6652401;6366753;2.598;1.500
Vestfold;E+R;Yrkesdøgn;< 5,6m;Januar;4,072;96,000;5495064;5280075;2.758;1.593
Vestfold;E+R;Yrkesdøgn;>= 5,6m;Januar;6,480;96,000;1154834;1084550;3.154;1.821
Vestfold;E+R;Yrkesdøgn;5,6m - 7,6m;Januar;8,494;96,000;257163;237029;4.049;2.338
Vestfold;E+R;Yrkesdøgn;7,6m - 12,5m;Januar;6,502;96,000;295713;277660;2.684;1.550
Vestfold;E+R;Yrkesdøgn;12,5m - 16,0m;Januar;2,154;96,000;128429;125721;10.725;6.192
Vestfold;E+R;Yrkesdøgn;>= 16,0m;Januar;6,617;96,000;473529;444140;3.401;1.964
Vestfold;E+R;Helgedøgn;Alle;Januar;5,742;98,000;1930011;1825206;5.657;3.266
Vestfold;E+R;Helgedøgn;< 5,6m;Januar;5,474;98,000;1786605;1693887;5.646;3.260
Vestfold;E+R;Helgedøgn;>= 5,6m;Januar;9,194;98,000;143223;131164;6.337;3.659
Vestfold;E+R;Helgedøgn;5,6m - 7,6m;Januar;12,349;98,000;40650;36182;9.179;5.300
Vestfold;E+R;Helgedøgn;7,6m - 12,5m;Januar;9,080;98,000;43307;39702;7.117;4.109
Vestfold;E+R;Helgedøgn;12,5m - 16,0m;Januar;3,522;98,000;18281;17659;8.109;4.682
Vestfold;E+R;Helgedøgn;>= 16,0m;Januar;8,942;98,000;40985;37621;6.792;3.922
Vestfold;E+R;Alle;Alle;Februar;2,739;89,000;8128011;7911336;2.060;1.141
Vestfold;E+R;Alle;< 5,6m;Februar;2,135;89,000;6901938;6757674;2.221;1.230
